HEADER "0-ALL!P" not followed by a proline
HEADER "1-ALLP"      followed by a proline
HEADER "2-GLY!P"
HEADER "3-GLYP"
HEADER "3-GLYP"
HEADER "4-PRO!P"
HEADER "5-PROP"
HEADER "6-VI!P"
HEADER "7-VIP"
HEADER "8-DN!P"
HEADER "9-DNP"
HEADER "10-ST!P"
HEADER "11-STP"
HEADER "12-EQ!P"
HEADER "13-EQP"
HEADER "14-LA!P"
HEADER "15-LAP"
4 3 12   0.349   0.294  -0.333  -0.448
4 3 13   0.575   0.206  -0.043  -0.110
4 3 14   0.347   0.304  -0.467  -0.455
4 3 15   0.482   0.169  -0.173  -0.129
4 4 0   0.874   0.026  -0.015  -0.317
4 4 1   0.743   0.376  -0.089  -0.193
4 4 2   0.653   0.024  -0.204  -0.298
4 4 3   0.640   0.095  -0.116   0.116
4 4 4   0.826   0.016  -0.020  -0.567
4 4 5   1.089  -0.332   0.074  -0.134
4 4 6   0.671  -0.083  -0.279  -0.260
4 4 7   0.321   0.393  -0.336  -0.141
4 4 8   0.976   0.104   0.124  -0.203
4 4 9   0.987   0.369   0.100  -0.136
4 4 10   0.731   0.057   0.087  -0.262
4 4 11   0.747   0.339  -0.088  -0.164
4 4 12   0.904   0.038  -0.082  -0.265
4 4 13   0.790   0.271  -0.076  -0.039
4 4 14   0.938  -0.081  -0.062  -0.247
4 4 15   0.852   0.266  -0.079  -0.209
